JNLNO,MERCHANTNO,PRODID,DUENO,CONTNO,IDTYPE,IDNO,IDNAME,LOANAMOUNT,LOANDATE,DUEDATE,NORMALRATES,PENALTYRATES,REPAYTYPE,CHANNELJNLNO,SendRouterJnlNo,CREATETIME,UPDATETIME,year_month
010120181127000061185101000000,20180003,LN0031,20180010030122,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,1000000.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017758815180992030000,32138220181017758815180992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
010120181127000061185301000000,20180003,LN0031,20180010030141,20181009000000003764,ZJ35,91360222MA35L8636M,景德镇远诚物流有限公司,100000.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017764157454992030000,32138220181017764157454992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
010120181127000061185401000000,20180003,LN0031,20180010030120,20181009000000003764,ZJ35,91360222MA35L8636M,景德镇远诚物流有限公司,500000.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017758595060992030000,32138220181017758595060992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
010120181127000061185501000000,20180003,LN0031,20180010030140,20181009000000003764,ZJ35,91360222MA35L8636M,景德镇远诚物流有限公司,400000.0,2018-10-17,2019-02-14,5.65,18.0,4,32138220181017762875075992030000,32138220181017762875075992030000,2018-11-27 16:17:07,2018-11-27 16:17:07,2018-10
010120181127000061221601000000,20180003,LN0031,20180010030185,20181011000000004031,ZJ35,916101026938250040,西安瀚凯工贸有限责任公司,82420.0,2018-10-18,2019-02-15,5.65,18.0,4,32138220181018834028498992030000,32138220181018834028498992030000,2018-11-27 16:17:26,2018-11-27 16:17:26,2018-10
010120181127000061221701000000,20180003,LN0031,20180010030184,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,500000.0,2018-10-18,2019-02-15,5.65,18.0,4,32138220181018834027072992030000,32138220181018834027072992030000,2018-11-27 16:17:26,2018-11-27 16:17:26,2018-10
010120181127000061221801000000,20180003,LN0031,20180010030182,20181012000000004036,ZJ35,91440101708239906N,广州市大路汽车配件有限公司,1000000.0,2018-10-18,2019-02-15,5.65,18.0,4,32138220181018834023883992030000,32138220181018834023883992030000,2018-11-27 16:17:26,2018-11-27 16:17:26,2018-10
010120181127000061222201000000,20180003,LN0031,20180010030183,20180926000000003188,ZJ35,91211400318730804Y,葫芦岛市兴东旗汽车修配有限公司,500000.0,2018-10-18,2019-02-15,5.65,18.0,4,32138220181018834025370992030000,32138220181018834025370992030000,2018-11-27 16:17:26,2018-11-27 16:17:26,2018-10
010120181127000061223001000000,20180003,LN0031,20180010030301,20181008000000003740,ZJ35,913709023104419448,泰安松润商贸有限公司,500000.0,2018-10-18,2019-02-15,5.65,18.0,4,32138220181018851963798992030000,32138220181018851963798992030000,2018-11-27 16:17:26,2018-11-27 16:17:26,2018-10
010120181127000061252601000000,20180003,LN0031,20180010030338,20181008000000003740,ZJ35,913709023104419448,泰安松润商贸有限公司,250000.0,2018-10-19,2019-02-16,5.65,18.0,4,32138220181019917017569992030000,32138220181019917017569992030000,2018-11-27 16:17:51,2018-11-27 16:17:51,2018-10
010120181127000061252701000000,20180003,LN0031,20180010030474,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,500000.0,2018-10-19,2019-02-16,5.65,18.0,4,32138220181019935701052992030000,32138220181019935701052992030000,2018-11-27 16:17:51,2018-11-27 16:17:51,2018-10
010120181127000061253001000000,20180003,LN0031,20180010030477,20181008000000003740,ZJ35,913709023104419448,泰安松润商贸有限公司,750000.0,2018-10-19,2019-02-16,5.65,18.0,4,32138220181019937044666992030000,32138220181019937044666992030000,2018-11-27 16:17:51,2018-11-27 16:17:51,2018-10
010120181127000061253101000000,20180003,LN0031,20180010030478,20180926000000003187,ZJ35,91440101MA59J0KF8B,广东海聚供应链有限公司,1000000.0,2018-10-19,2019-02-16,5.65,18.0,4,32138220181019938438998992030000,32138220181019938438998992030000,2018-11-27 16:17:51,2018-11-27 16:17:51,2018-10
010120181127000061253201000000,20180003,LN0031,20180010030339,20181017000000004497,ZJ35,91440400MA4X46029J,珠海市慧星实业有限公司,75228.0,2018-10-19,2019-02-16,5.65,18.0,4,32138220181019917018824992030000,32138220181019917018824992030000,2018-11-27 16:17:51,2018-11-27 16:17:51,2018-10
010120181127000061370301000000,20180003,LN0031,20180010030795,20181011000000004031,ZJ35,916101026938250040,西安瀚凯工贸有限责任公司,101920.0,2018-10-23,2019-02-20,5.65,18.0,4,32138220181023264664844992030000,32138220181023264664844992030000,2018-11-27 16:19:18,2018-11-27 16:19:18,2018-10
010120181127000061370401000000,20180003,LN0031,20180010030794,20181017000000004498,ZJ35,91440101331496266G,广州星尊汽车配件有限公司,499649.04,2018-10-23,2019-02-20,5.65,18.0,4,32138220181023264663018992030000,32138220181023264663018992030000,2018-11-27 16:19:18,2018-11-27 16:19:18,2018-10
010120181127000061393301000000,20180003,LN0031,20180010030921,20181023000000005039,ZJ35,91110106MA017NYQ81,北京九斗星电源科技有限公司,500000.0,2018-10-24,2019-02-21,5.65,18.0,4,32138220181024095522108992030000,32138220181024095522108992030000,2018-11-27 16:19:38,2018-11-27 16:19:38,2018-10
010120181127000061407201000000,20180003,LN0031,20180010030922,20181017000000004498,ZJ35,91440101331496266G,广州星尊汽车配件有限公司,499469.27,2018-10-24,2019-02-21,5.65,18.0,4,32138220181024095523110992030000,32138220181024095523110992030000,2018-11-27 16:19:38,2018-11-27 16:19:38,2018-10
010120181127000061407301000000,20180003,LN0031,20180010031045,20180926000000003188,ZJ35,91211400318730804Y,葫芦岛市兴东旗汽车修配有限公司,500000.0,2018-10-24,2019-02-21,5.65,18.0,4,32138220181024161757126992030000,32138220181024161757126992030000,2018-11-27 16:19:38,2018-11-27 16:19:38,2018-10
010120181127000061432801000000,20180003,LN0031,20180010031179,20181023000000005039,ZJ35,91110106MA017NYQ81,北京九斗星电源科技有限公司,500000.0,2018-10-25,2019-02-22,5.65,18.0,4,32138220181025152238039992030000,32138220181025152238039992030000,2018-11-27 16:19:57,2018-11-27 16:19:57,2018-10
010120181127000061454501000000,20180003,LN0031,20180010031292,20181023000000005039,ZJ35,91110106MA017NYQ81,北京九斗星电源科技有限公司,500000.0,2018-10-26,2019-02-23,5.65,18.0,4,32138220181026143604023992030000,32138220181026143604023992030000,2018-11-27 16:20:18,2018-11-27 16:20:18,2018-10
010120181127000061454601000000,20180003,LN0031,20180010031333,20181023000000005039,ZJ35,91110106MA017NYQ81,北京九斗星电源科技有限公司,500000.0,2018-10-26,2019-02-23,5.65,18.0,4,32138220181026160854141992030000,32138220181026160854141992030000,2018-11-27 16:20:18,2018-11-27 16:20:18,2018-10
010120181127000061600701000000,20180003,LN0031,20180010031623,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,500000.0,2018-10-31,2019-02-28,5.65,18.0,4,32138220181031142409584992030000,32138220181031142409584992030000,2018-11-27 16:22:04,2018-11-27 16:22:04,2018-10
010120181127000061600801000000,20180003,LN0031,20180010031622,20181017000000004497,ZJ35,91440400MA4X46029J,珠海市慧星实业有限公司,90610.0,2018-10-31,2019-02-28,5.65,18.0,4,32138220181031142407582992030000,32138220181031142407582992030000,2018-11-27 16:22:04,2018-11-27 16:22:04,2018-10
010120181127000061701601000000,20180003,LN0031,20180010032150,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,23500.0,2018-11-05,2019-03-05,5.65,18.0,4,32138220181105134429280992030000,32138220181105134429280992030000,2018-11-27 16:24:22,2018-11-27 16:24:22,2018-11
010120181127000061701801000000,20180003,LN0031,20180010032168,20181017000000004497,ZJ35,91440400MA4X46029J,珠海市慧星实业有限公司,274724.0,2018-11-05,2019-03-05,5.65,18.0,4,32138220181105164645294992030000,32138220181105164645294992030000,2018-11-27 16:24:22,2018-11-27 16:24:22,2018-11
010120181127000061702001000000,20180003,LN0031,20180010032164,20181011000000003920,ZJ35,91440101MA59F9TL7Y,广州市中闽通汽车维修服务有限公司,999970.0,2018-11-05,2019-03-05,5.65,18.0,4,32138220181105162325388992030000,32138220181105162325388992030000,2018-11-27 16:24:22,2018-11-27 16:24:22,2018-11
010120181127000061746401000000,20180003,LN0031,20180010032252,20180926000000003187,ZJ35,91440101MA59J0KF8B,广东海聚供应链有限公司,999840.0,2018-11-07,2019-03-07,5.65,18.0,4,32138220181107105201006992030000,32138220181107105201006992030000,2018-11-27 16:24:57,2018-11-27 16:24:57,2018-11
010120181127000061776201000000,20180003,LN0031,20180010032318,20181011000000004031,ZJ35,916101026938250040,西安瀚凯工贸有限责任公司,97000.0,2018-11-08,2019-03-08,5.65,18.0,4,32138220181108134245172992030000,32138220181108134245172992030000,2018-11-27 16:25:16,2018-11-27 16:25:16,2018-11
010120181127000061776301000000,20180003,LN0031,20180010032329,20181008000000003741,ZJ35,91110105062793077Y,北京正坤亨业贸易有限公司,499980.0,2018-11-08,2019-03-08,5.65,18.0,4,32138220181108162720016992030000,32138220181108162720016992030000,2018-11-27 16:25:16,2018-11-27 16:25:16,2018-11
010120181127000061776401000000,20180003,LN0031,20180010032310,20181011000000004031,ZJ35,916101026938250040,西安瀚凯工贸有限责任公司,118424.0,2018-11-08,2019-03-08,5.65,18.0,4,32138220181108113849167992030000,32138220181108113849167992030000,2018-11-27 16:25:16,2018-11-27 16:25:16,2018-11
010120181127000061804101000000,20180003,LN0031,20180010032379,20180926000000003187,ZJ35,91440101MA59J0KF8B,广东海聚供应链有限公司,999978.0,2018-11-09,2019-03-09,5.65,18.0,4,32138220181109132419161992030000,32138220181109132419161992030000,2018-11-27 16:25:47,2018-11-27 16:25:47,2018-11
010120181127000061804401000000,20180003,LN0031,20180010032382,20180921000000002894,ZJ35,91610501MA6Y24F81T,渭南开源恒通商贸有限公司,306680.0,2018-11-09,2019-03-09,5.65,18.0,4,32138220181109141308047992030000,32138220181109141308047992030000,2018-11-27 16:25:47,2018-11-27 16:25:47,2018-11
010120181127000061804801000000,20180003,LN0031,20180010032381,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,186000.0,2018-11-09,2019-03-09,5.65,18.0,4,32138220181109141306045992030000,32138220181109141306045992030000,2018-11-27 16:25:47,2018-11-27 16:25:47,2018-11
010120181127000061997801000000,20180003,LN0031,20180010032454,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,63696.27,2018-11-12,2019-03-12,5.65,18.0,4,32138220181112092858383992030000,32138220181112092858383992030000,2018-11-27 16:26:45,2018-11-27 16:26:45,2018-11
010120181127000061997901000000,20180003,LN0031,20180010032502,20181109000000005843,ZJ35,91110117MA00A60T5E,北京板子科技有限公司,499997.0,2018-11-12,2019-03-12,5.65,18.0,4,32138220181112144317251992030000,32138220181112144317251992030000,2018-11-27 16:26:45,2018-11-27 16:26:45,2018-11
010120181127000061998001000000,20180003,LN0031,20180010032508,20181008000000003741,ZJ35,91110105062793077Y,北京正坤亨业贸易有限公司,499500.0,2018-11-12,2019-03-12,5.65,18.0,4,32138220181112154110445992030000,32138220181112154110445992030000,2018-11-27 16:26:45,2018-11-27 16:26:45,2018-11
010120181127000062030201000000,20180003,LN0031,20180010032561,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,496057.0,2018-11-13,2019-03-13,5.65,18.0,4,32138220181113113818633992030000,32138220181113113818633992030000,2018-11-27 16:27:05,2018-11-27 16:27:05,2018-11
010120181127000062030501000000,20180003,LN0031,20180010032579,20181109000000005843,ZJ35,91110117MA00A60T5E,北京板子科技有限公司,999664.0,2018-11-13,2019-03-13,5.65,18.0,4,32138220181113152644640992030000,32138220181113152644640992030000,2018-11-27 16:27:05,2018-11-27 16:27:05,2018-11
010120181127000062031001000000,20180003,LN0031,20180010032585,20181109000000005844,ZJ35,91440101661842408T,广州市炫业贸易有限公司,501200.0,2018-11-13,2019-03-13,5.65,18.0,4,32138220181113161013358992030000,32138220181113161013358992030000,2018-11-27 16:27:05,2018-11-27 16:27:05,2018-11
010120181127000062031301000000,20180003,LN0031,20180010032533,20180926000000003188,ZJ35,91211400318730804Y,葫芦岛市兴东旗汽车修配有限公司,500000.0,2018-11-13,2019-03-13,5.65,18.0,4,32138220181113093806296992030000,32138220181113093806296992030000,2018-11-27 16:27:05,2018-11-27 16:27:05,2018-11
010120181127000062031401000000,20180003,LN0031,20180010032525,20181109000000005843,ZJ35,91110117MA00A60T5E,北京板子科技有限公司,499855.5,2018-11-13,2019-03-13,5.65,18.0,4,32138220181113091424291992030000,32138220181113091424291992030000,2018-11-27 16:27:05,2018-11-27 16:27:05,2018-11
010120181127000062061801000000,20180003,LN0031,20180010032678,20181109000000005843,ZJ35,91110117MA00A60T5E,北京板子科技有限公司,1000345.0,2018-11-14,2019-03-14,5.65,18.0,4,32138220181114164609811992030000,32138220181114164609811992030000,2018-11-27 16:27:32,2018-11-27 16:27:32,2018-11
010120181127000062061901000000,20180003,LN0031,20180010032659,20181114000000005916,ZJ35,91370104306908513J,山东易联汽车配件有限公司,716810.0,2018-11-14,2019-03-14,5.65,18.0,4,32138220181114143820544992030000,32138220181114143820544992030000,2018-11-27 16:27:32,2018-11-27 16:27:32,2018-11
010120181127000062062001000000,20180003,LN0031,20180010032679,20181114000000005916,ZJ35,91370104306908513J,山东易联汽车配件有限公司,502084.0,2018-11-14,2019-03-14,5.65,18.0,4,32138220181114164943813992030000,32138220181114164943813992030000,2018-11-27 16:27:32,2018-11-27 16:27:32,2018-11
010120181127000062062401000000,20180003,LN0031,20180010032627,20181109000000005844,ZJ35,91440101661842408T,广州市炫业贸易有限公司,498763.0,2018-11-14,2019-03-14,5.65,18.0,4,32138220181114105855533992030000,32138220181114105855533992030000,2018-11-27 16:27:32,2018-11-27 16:27:32,2018-11
010120181127000062062601000000,20180003,LN0031,20180010032677,20181114000000005916,ZJ35,91370104306908513J,山东易联汽车配件有限公司,123720.0,2018-11-14,2019-03-14,5.65,18.0,4,32138220181114161301805992030000,32138220181114161301805992030000,2018-11-27 16:27:32,2018-11-27 16:27:32,2018-11
010120181127000062062701000000,20180003,LN0031,20180010032675,20181113000000005876,ZJ35,91320583330878377U,昆山皇硕商贸有限公司,4260.0,2018-11-14,2019-03-14,5.65,18.0,4,32138220181114160830801992030000,32138220181114160830801992030000,2018-11-27 16:27:32,2018-11-27 16:27:32,2018-11
010120181127000062097601000000,20180003,LN0031,20180010032743,20181012000000004036,ZJ35,91440101708239906N,广州市大路汽车配件有限公司,999953.0,2018-11-15,2019-03-15,5.65,18.0,4,32138220181115105959060992030000,32138220181115105959060992030000,2018-11-27 16:27:51,2018-11-27 16:27:51,2018-11
010120181127000062097901000000,20180003,LN0031,20180010032744,20181113000000005878,ZJ35,91211400MA0XM0F53A,葫芦岛驰福电子商务有限公司,500000.0,2018-11-15,2019-03-15,5.65,18.0,4,32138220181115110229062992030000,32138220181115110229062992030000,2018-11-27 16:27:51,2018-11-27 16:27:51,2018-11
010120181127000062098001000000,20180003,LN0031,20180010032770,20181009000000003798,ZJ35,91110302MA019BG845,北京小启网络科技有限公司,499800.0,2018-11-15,2019-03-15,5.65,18.0,4,32138220181115131254654992030000,32138220181115131254654992030000,2018-11-27 16:27:51,2018-11-27 16:27:51,2018-11
010120181127000062098101000000,20180003,LN0031,20180010032772,20181114000000005911,ZJ35,91110108MA001WQPX6,万车云科技(北京)有限公司,499400.0,2018-11-15,2019-03-15,5.65,18.0,4,32138220181115133214659992030000,32138220181115133214659992030000,2018-11-27 16:27:51,2018-11-27 16:27:51,2018-11
010120181127000062197401000000,20180003,LN0031,20180010032893,20180926000000003188,ZJ35,91211400318730804Y,葫芦岛市兴东旗汽车修配有限公司,229450.0,2018-11-16,2019-03-16,5.65,18.0,4,32138220181116131616220992030000,32138220181116131616220992030000,2018-11-27 16:28:11,2018-11-27 16:28:11,2018-11
010120181127000062197501000000,20180003,LN0031,20180010032857,20181113000000005879,ZJ35,91211400MA0UGKU31K,葫芦岛市鑫盛商贸有限公司,499100.0,2018-11-16,2019-03-16,5.65,18.0,4,32138220181116111344801992030000,32138220181116111344801992030000,2018-11-27 16:28:11,2018-11-27 16:28:11,2018-11
010120181127000062197601000000,20180003,LN0031,20180010032892,20181113000000005879,ZJ35,91211400MA0UGKU31K,葫芦岛市鑫盛商贸有限公司,270600.0,2018-11-16,2019-03-16,5.65,18.0,4,32138220181116131615218992030000,32138220181116131615218992030000,2018-11-27 16:28:11,2018-11-27 16:28:11,2018-11
010120181127000062197701000000,20180003,LN0031,20180010032848,20181113000000005879,ZJ35,91211400MA0UGKU31K,葫芦岛市鑫盛商贸有限公司,350400.0,2018-11-16,2019-03-16,5.65,18.0,4,32138220181116102520787992030000,32138220181116102520787992030000,2018-11-27 16:28:11,2018-11-27 16:28:11,2018-11
010120181127000062197901000000,20180003,LN0031,20180010032837,20181114000000005916,ZJ35,91370104306908513J,山东易联汽车配件有限公司,498018.0,2018-11-16,2019-03-16,5.65,18.0,4,32138220181116094341768992030000,32138220181116094341768992030000,2018-11-27 16:28:11,2018-11-27 16:28:11,2018-11
010120181127000062198001000000,20180003,LN0031,20180010032849,20180926000000003188,ZJ35,91211400318730804Y,葫芦岛市兴东旗汽车修配有限公司,150450.0,2018-11-16,2019-03-16,5.65,18.0,4,32138220181116102521789992030000,32138220181116102521789992030000,2018-11-27 16:28:11,2018-11-27 16:28:11,2018-11
010120181127000062198101000000,20180003,LN0031,20180010032905,20181114000000005911,ZJ35,91110108MA001WQPX6,万车云科技(北京)有限公司,673160.0,2018-11-16,2019-03-16,5.65,18.0,4,32138220181116151822236992030000,32138220181116151822236992030000,2018-11-27 16:28:11,2018-11-27 16:28:11,2018-11
010120181127000062272201000000,20180003,LN0031,20180010032960,20181114000000005916,ZJ35,91370104306908513J,山东易联汽车配件有限公司,11750.0,2018-11-19,2019-03-19,5.65,18.0,4,32138220181119093341501992030000,32138220181119093341501992030000,2018-11-27 16:29:10,2018-11-27 16:29:10,2018-11
010120181127000062272301000000,20180003,LN0031,20180010032958,20181114000000005911,ZJ35,91110108MA001WQPX6,万车云科技(北京)有限公司,502086.0,2018-11-19,2019-03-19,5.65,18.0,4,32138220181119092208494992030000,32138220181119092208494992030000,2018-11-27 16:29:10,2018-11-27 16:29:10,2018-11
010120181127000062272401000000,20180003,LN0031,20180010033044,20181114000000005913,ZJ35,91320300MA1UXLLY5F,江苏驰福电子商务有限公司,540976.0,2018-11-19,2019-03-19,5.65,18.0,4,32138220181119131106555992030000,32138220181119131106555992030000,2018-11-27 16:29:10,2018-11-27 16:29:10,2018-11
010120181127000062272501000000,20180003,LN0031,20180010032984,20181114000000005913,ZJ35,91320300MA1UXLLY5F,江苏驰福电子商务有限公司,257844.0,2018-11-19,2019-03-19,5.65,18.0,4,32138220181119104157030992030000,32138220181119104157030992030000,2018-11-27 16:29:10,2018-11-27 16:29:10,2018-11
010120181127000062312201000000,20180003,LN0031,20180010033098,20181119000000006139,ZJ35,911201035987335664,天津吉星成顺达商贸有限公司,539022.0,2018-11-20,2019-03-20,5.65,18.0,4,32138220181120103324096992030000,32138220181120103324096992030000,2018-11-27 16:35:51,2018-11-27 16:35:51,2018-11
010120181127000062312301000000,20180003,LN0031,20180010033099,20181119000000006147,ZJ35,91110105318359902A,北京吉星顺达商贸有限公司,460978.0,2018-11-20,2019-03-20,5.65,18.0,4,32138220181120104139243992030000,32138220181120104139243992030000,2018-11-27 16:35:51,2018-11-27 16:35:51,2018-11
010120181127000062312401000000,20180003,LN0031,20180010033086,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,501072.0,2018-11-20,2019-03-20,5.65,18.0,4,32138220181120094919074992030000,32138220181120094919074992030000,2018-11-27 16:35:51,2018-11-27 16:35:51,2018-11
010120181127000062342901000000,20180003,LN0031,20180010033137,20181119000000006139,ZJ35,911201035987335664,天津吉星成顺达商贸有限公司,502968.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121095503263992030000,32138220181121095503263992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
010120181127000062343001000000,20180003,LN0031,20180010033172,20181119000000006147,ZJ35,91110105318359902A,北京吉星顺达商贸有限公司,497032.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121131943607992030000,32138220181121131943607992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
010120181127000062343101000000,20180003,LN0031,20180010033201,20181023000000005039,ZJ35,91110106MA017NYQ81,北京九斗星电源科技有限公司,398707.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121163748342992030000,32138220181121163748342992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
010120181127000062343201000000,20180003,LN0031,20180010033153,20180921000000002894,ZJ35,91610501MA6Y24F81T,渭南开源恒通商贸有限公司,286700.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121103144586992030000,32138220181121103144586992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
010120181127000062343401000000,20180003,LN0031,20180010033202,20181119000000006140,ZJ35,91110105592309991U,北京菁泽嘉业商贸有限公司,537056.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121163804658992030000,32138220181121163804658992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
010120181127000062343501000000,20180003,LN0031,20180010033193,20181017000000004497,ZJ35,91440400MA4X46029J,珠海市慧星实业有限公司,126480.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121152345634992030000,32138220181121152345634992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
010120181127000062343601000000,20180003,LN0031,20180010033173,20181008000000003739,ZJ35,913709023130010125,泰安快车手汽车服务有限公司,749995.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121132205611992030000,32138220181121132205611992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
010120181127000062343701000000,20180003,LN0031,20180010033136,20181008000000003738,ZJ35,91320300346244141W,徐州海丰石油化工有限公司,465645.0,2018-11-21,2019-03-21,5.65,18.0,4,32138220181121095417568992030000,32138220181121095417568992030000,2018-11-27 16:36:15,2018-11-27 16:36:15,2018-11
